S,family,base,strategy,n_DMC,n_bank,min_mean,bks_per_dmc,bank8,maxload,minload,note
1MiB,align2MiB,0x0,high,384,384,0.9375,1-1,1,22,20,
1MiB,align2MiB,0x200000,high,384,384,0.9377,1-1,1,22,20,
1MiB,align2MiB,0x400000,high,384,384,0.9380,1-1,1,22,20,
1MiB,align2MiB,0x600000,high,384,384,0.9382,1-1,1,22,20,
1MiB,align2MiB,0x0,shear,384,2304,0.9375,6-6,1,22,20,
1MiB,align2MiB,0x200000,shear,384,2304,0.9377,6-6,1,22,20,
1MiB,align2MiB,0x400000,shear,384,2304,0.9380,6-6,1,22,20,
1MiB,align2MiB,0x600000,shear,384,2304,0.9382,6-6,1,22,20,
1MiB,align2MiB,0x0,sbox,2,2,1.0000,1-1,1,4096,4096,
1MiB,align2MiB,0x200000,sbox,2,2,1.0000,1-1,1,4095,4095,
1MiB,align2MiB,0x400000,sbox,2,2,1.0000,1-1,1,4094,4094,
1MiB,align2MiB,0x600000,sbox,2,2,1.0000,1-1,1,4093,4093,
1MiB,align2MiB,REL_DIFF,sns,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
1MiB,align2MiB,REL_DIFF,mod384,3.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
1MiB,align2MiB,REL_DIFF,low,1.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
1MiB,align2MiB,REL_DIFF,high,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
1MiB,align2MiB,REL_DIFF,shear,384.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
1MiB,align2MiB,REL_DIFF,sbox,2.00 ± 0.00 (n=4),,,,,,,rel_diff=0.0000
512KiB,grain512,0x0,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0x200,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0x400,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0x600,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0xe00,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0x1e00,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0x3e00,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0x7e00,sns,384,2304,0.9000,6-6,1,42,36,
512KiB,grain512,0x0,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0x200,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0x400,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0x600,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0xe00,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0x1e00,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0x3e00,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0x7e00,mod384,3,3,1.0000,1-1,1,5120,5120,
512KiB,grain512,0x0,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0x200,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0x400,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0x600,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0xe00,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0x1e00,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0x3e00,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0x7e00,low,1,1,1.0000,1-1,1,15360,15360,
512KiB,grain512,0x0,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0x200,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0x400,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0x600,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0xe00,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0x1e00,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0x3e00,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0x7e00,high,384,384,1.0000,1-1,1,40,40,
512KiB,grain512,0x0,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0x200,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0x400,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0x600,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0xe00,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0x1e00,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0x3e00,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0x7e00,shear,384,2304,0.9250,6-6,1,42,37,
512KiB,grain512,0x0,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,0x200,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,0x400,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,0x600,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,0xe00,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,0x1e00,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,0x3e00,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,0x7e00,sbox,3,3,0.7500,1-1,1,7680,3840,
512KiB,grain512,REL_DIFF,sns,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512KiB,grain512,REL_DIFF,mod384,3.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512KiB,grain512,REL_DIFF,low,1.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512KiB,grain512,REL_DIFF,high,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512KiB,grain512,REL_DIFF,shear,384.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512KiB,grain512,REL_DIFF,sbox,3.00 ± 0.00 (n=8),,,,,,,rel_diff=0.0000
512KiB,align2MiB,0x0,sns,384,2304,0.9000,6-6,1,42,36,
